comment,toxic
"Ну например потому что кончалось лето и если бы я быстро не отстроилась - ещё почти год жила бы на съёмных квартирах. А я если честно вешалась от них - я до этого 10 лет с родителями загородом жила, мне тесно в Москве)
",0.0
"к качеству выполнения вопросов конечно нет, но дизайн... больше на сарай смахивает
",0.0
"Етить налево, ох уж мне эта эпопея тупых баб, домофонов и врачей. Вечно эти объявления на дверях (хоть перестали, бестолочи, писать прямо на двери), тряпочки и камни, подпирающие дверь. Вершиной явилась записка на днях Спасибо, люди добрые, что к ребенку не смог попасть врач .
",1.0
"Вот и хотели проверить...любознательные дебилы
",1.0
"дышать плавленной пластмассой ради это куска ископаемого сомнительное удовольствие, раньше тоже парился с эпоксидкой, но давно плюнул на это дело, купил кучу маленьких болтов, гаечек и шайбочек - болт насквозь, затем вплавляю гаечку в пластик, отмеряю, болт отрезаю. Снизу гаечка вплавляется так, что не торчит, конструкция получается очень крепкая, смысла парится с этими стойками не вижу вообще
",0.0
"Гандоны - это ты и твой хозяин - пидорас-пригожин . А те, что на оппиках - уважаемые люди, несущие свет и освобождение в тоталитарную парашу.",1.0
"В доллары перевести и пускай будет запас на чёрный день. Ну а в остальном жить как жил, особо не трепаться и бабки не спускать. Всё равно лям рублей - это не бог весть какая сумма уже. Конечно большая, но уже не той ценности, что скажем в нулевых. Хотя деньги одни и те же с 1997 года. Особо кутить один хуй не выйдет, до конца жизни тоже не растянуть, чтобы жить по середнячку. Даже бомжевать не получится. Если толку нет куда-то вкладывать и извлекать прибыль, то это именно неплохая подушка безопасности.
",0.0
"Обычно в таких случаях адекватные компания выплачивают долг постродавшей стороне, а после чего судятся с сотрудниками
",0.0
"Я так раньше в 9 вечера в азбуку вкуса ходил, когда работал ночами
",0.0
"С каких это пор Росатом частная организация? Основными составляющими капитала и резервов Госкорпорции Росатом и ее организаций являются: целевое финансирование, получаемое Госкорпорацией Росатом на осуществление уставной деятельности в соответствии с Федеральным законом от 1 декабря 2001 года 317-ФЗ О Государственной корпорации по атомной энергии Росатом ; уставные капиталы (фонды) организаций (предприятий), в отношении которых Госкорпорация Росатом осуществляет полномочия собственника от имени Российской Федерации; добавочный капитал; резервный капитал, в том числе отраслевые резервы, создаваемые согласно постановлениям Правительства РФ от 30 января 2002 года 68 и от 21 сентября 2005 года 576; нераспределенная прибыль.
",0.0
"Всё работы хороши, выбирай на вкус.
",0.0
"А что такого? Двести рублей в год за спокойную жизнь жалко? Из блокировщиков которые я пробовал только AdGuard блочит рекламу в почте майл ру.
",0.0
"А почему почти все мошенники в таких историях просят на ВТБ?
",0.0
"Ну да. Секс - дело мозга) Се ля ви.
",1.0
"Ничего подобного. Чуваши - СУВАРЫ.
",1.0
"В особозапущенных случаях, я возвращаю вкус к жизни - даже бесплатно.
",0.0
"Тогда непонятны мутки с продажей дома. Хотя смотря где имущество. Просто странно как то выглядит. По идее в таком массиве дом и квартира вполне могут остаться за ней. А вообще ситуация ебанутая для вдовы конечно. Наверное так же бы охуевала жена моего отца, которая вообще не знала о том что я есть. Но она умерла рано
",0.0
"Самый прикол был про потрещать в вырезанном комменте о Гейгере
",1.0
"Тот инет, что был в 20 году уже трансформировался в нечто. Не такой романтичный. Теперь все осознали что это инструмент зарабатывания в основе.
",0.0
"как и любой оператор каждый год
",0.0
"Женщине хочется купить то что нравится спутнику, что бы он одобрил покупку. Одна она купила бы одну шмотку, а с со спутником уболтала бы на большее
",0.0
"А каким образом авто снято с учета с задолженностью по штрафам?
",0.0
"у нас было другое развлечение, забрать одежду раньше всех из шкафа после уроков, причем ломились как парни так и девчонки ну и девчонок в давке лайтово щупали, но это уже класс 7-8 был.
",0.0
"Вместо того, чтобы усилить бепзопасность и вооружиться Ну давай ЕЩ усилим безопасность - разрешим полностью автоматические винтовки, а еще пулеметы Гатлинга. А там и до разрешения гранатометов недалеко. Вправду, как тебе обороняться от небольшой (10 тел) группы преступников, вооруженных многоствольными пулеметами? Только гранатой ебануть.
",1.0
"Купили чайник, отвалилась крышка через 3 месяца. Не гарантийный случай...
",0.0
"Дренаж, вентиляция, полы с учетом хотелок в виде мансардного этажа в хорошую копейку просятся... Плюс идея теплоизоляции по периметру... Знать бы прикуп, что все пройдет с положительным успехом и нужным результатом, уже бы ковырялся во всем этом )
",0.0
"Просто из того что я вижу, купили и ебись как хочешь, обычно говно всякое купят, типо костюм за косарь на зоне пошитый. А тут норм одежда.
",0.0
"В целом - зазор не нужен. Тепловое излучение и так отразится. А контактную передачу тепла предотвратит как раз изолон.
",0.0
"А что не так? Почему бы не брать пример с хороших вещей?
",0.0
"Домофо н (под этим чаще всего подразумевается Домофонная система) электронная система, состоящая из устройств, передающих сигнал от вызывного блока к переговорному устройству. Домофонная система является разновидностью систем ограничения доступа. Может быть оборудовано автоматически запирающими устройствами (АЗУ) как электромеханического так и электронного типа. По способу передачи связи: проводной или по радиосигналу.
",0.0
"Знаешь почему тебе 76? Потому, что мудаки и на том свете никому не нужны.
",1.0
"Европы и США Это ещё ладно, но ещё больше трудятся во всяких чуркистанах.
",1.0
"В бетоне это скорее арматура.
",0.0
"Не знаю, мне недавно выплатили
",0.0
"Когда светил на концертах дискотеках, тоже отплясывал. Оказалось, это ещё нравится заказчикам, типа чувствуешь музыку и свет лучше. диджеем тоже был, по необходимости...плохим, но свести треки , со схожим бпм, было не трудно .
",0.0
"Я достаточно легко с этим квестом справился, перед обучением в автошколе я уже почти 2 года ездил без прав, так что трудностей у меня это не вызвало. Но это 15 лет назад было, тогда и таксистов ебанутых меньше было, и вообще ездили поаккуратнее. А то многие думают, что машину купил - водитель, фотоаппарат купил - фотограф, скальпель купил - хирург.
",0.0
"Хуй с руснявой рожей, одетый во всё чёрное крадётся ночью к мечети. Как ты считаешь, будут к тебе ещё вопросы, нет?
",1.0
"У меня дома холодильник 10 лет работал на фазе и земле (устанавливал розетки застройщик, дом TN-C-S), пока я самостоятельно УЗО не поставил и не выяснил данную оплошность. Тем не менее всё работало как надо.)
",0.0
"Мальчик сразу же ушел в глину по пояс Сука, эти журнашлюхи когда свое говно высирают на фото хоть смотрят?
",1.0
"А чё ее решились снести? Эх помню там в подвале суперский компьютерный клуб был
",0.0
"Жила на Украине, недолго, там принято бить детей, даже советуют друг другу ты по лицу бей, так обиднее и быстрее уроки сделает Нет, может где в России и похуже бьют, но живу в Саратовской области - с детьми носятся как с той торбой и за 15 лет ни одного случая насилия на улице я не наблюдала - ни драк, ни даже громких скандалов. А уж тем более избиения младенцев
",1.0
"Господе! Какая же жиза. Взял годовой абонемент и ходил в общей сложности месяца 3...хотя ранее был 3-х летний стаж и даже разряд по ПЛ. Что-то вот переклинило и все тут
",0.0
"ну да, антилопу кабана еще надо найти , поймать, убить, а другие племена там и тут мешаются. схватил одного и жри. остальные подумают в джунглях потерялся...
",1.0
"По телефону они любую цену могут назвать
",0.0
"всегда придерживаюсь взглядов, что машины не должны решать забрать человеческую жизнь или нет.
",0.0
"В редких случаях и кирпич оживляют)
",0.0
"да, но там очень сложно определить на сколько именно постарели десантники. Второй рассказ, думаю, это про Пертурабо из цикла Примархи. Но показатель времени дается просто как столетия , а потом тысячелетия
",0.0
"и на мтс и на теле2 такая херь приходила, пока не отключил оповещения.
",0.0
"Не, игра Ballance круче! Хотел было найти гифку с падением шара в пропасть, но не нашёл, а делать - лень!
",0.0
"И как могли TaleSpin перевести как Крутое пике ? Поломанное детство.,
",0.0
"Готовьте или накладывайте меньше. Чесслово, если вкусно - я лучше за три раза доем одну порцию или три раза съем по чуть-чуть, чем за раз эту кучу съем. Отдельная тема это готовить кучу еды, но не звать гостей спецом, типа ну может быть тётя Мотя зайдёт . У нас так на нг постоянно. Пять лотков грёбаного холодца, который ест только мама, индейка с картошкой, оливье, рыбный салат, который, опять же, только мама и дядя едят. И каждый год за ночь съедается в лучшем случае половина. Потому что после салата и индейки надо ещё оставить место под тортик, который уже пропитался. И каждый год что-то да пропадёт в итоге, несмотря на то, что я друзей привожу и мать на работу берёт или тоже подруг зовёт.
",0.0
"Это нормально, как по мне. Статистики хоть и не веду, но по своему опыту знаю что 16-17х5 - достаточно многим девушкам
",0.0
"Так размеры разные,каждый подоконник разной длины,и колонны разной высоты. Не бывает что строители все идеально одного размера сделали.
",0.0
"моя страница вКонтакте. Конечно всё зависит от материалов и сложности исполнения.
",0.0
"Почему? Объективно - конец 60-х и 70-е это расцвет музыки - Биттлы и Роллинг стоунз,Пинк Флойд,Квин,первая волна британского хэви-метала,панк-рок и зарождение новой волны. Это первое что приходит на ум,в 80-х начинается эра стагнации и коммерциализации,когда исполнители старались выпустить по одному альбому в год,основная масса их и альбомы были однотипные,без всякого вдохновения. В 90-х вообще произошел упадок,по крайней мере в роке,хотя популярны были альтернатива,гранж и рейв. Определенно,70-е легендарнее 80-х,а уж про сегодняшний день вообще молчу",0.0
"А нахер нам тут нужны эти инвесторы вложились бы в завод ...
",0.0
"та що ты им пидорам ок шным объясняешь это метать бисетр перед свинями
",1.0
"Зависит от региона, в москве успешно высылают
",0.0
"И за коммуналку не платить...
",0.0
"Просто на улицах практически никто не пьёт больше. Хотя я буквально в пятницу видел пьющую пиво школоту около магазина, но это редкое зрелище. На самом деле синячат ого-го. Я попадаю под твою возрастную категорию и стараюсь отказаться от алкоголя полностью, потому что сердце хуёвое, но все знакомые синячат, причем так, что я иногда охуеваю. Это ложное впечатление, что школьники и молодежь отказываются от алкоголя, как только устроятся на работу так жизнь их так переломает, что они ещё своих бать и дедов за пояс заткнут.
",0.0
"Оставь это клиповое говно для детей пролетариев, дурачок. И больше не лезь в чужие разговоры со своими глупостями, метапостный дебс.
",1.0
"Ну, пить-то можно, но жажду утолять не будет, зато кальций из организма вымывается на раз-два, если другой воды кроме очищенной осмосом не пить. Если интересно - купите в любом автомагазине или хозтоварах бутылку дистиллированной воды и попробуйте.
",0.0
"наверное всех манит бар Стопка, а хунямой уже выбора нет - приходиться закусывать
",1.0
"Ну да, а если не рядом с районом, а в самом районе, где гаражи рядом с детской площадкой. Ага, выходят два таких догхантера из машины и пальбу начинают. А собаки то конечно смирно стоят и ждут, когда охотник прицелится и им в голову выстрелит. Да они съебуться в мгновении ока, они такую хуйню за километр чуют, а выстрел может людей задеть. Есть способы и по безопасней.
",0.0
"Какой же трюдо эталонный куколд.
",1.0
"Стабильность в скатывании)
",0.0
"Ну они пробуют в этом убедить, на плате пропечатано сделано в России наклеечки всякие на понятном русском.
",0.0
"Сатья может раздражать своим специфическим говором по началу, но потом ничего, привыкаешь, даже нравится, так что не бросайте сразу, если не понравится подача лекции. И ещё Руслан Нарушевич и Мила Левчук тоже неплохие лекторы, что-то можно выбрать интересное для себя)
",0.0
"Это все что есть, раз ценности особой не имеет то продавать не буду, пусть останутся на память. Всем спасибо.
",0.0
"Либертарианцы - дегенераты и гидроцифалы
",1.0
"Попробуй глянуть его старые ролики и сравни, есть ли прогресс Там все второй половины 2018-2019 года, до этого он правда какое-то онлайн радио вел лет 10, но с этим записей нет бездарное проёбывание начинаний У него более 10К руб. в день выходит, что очень недурно даже для SF
",0.0
"Не играйте в дурака. Я не люблю самовлюбленных хитрожопых людей, которые считают себя умнее других. Когда посчитаю нужным, напишу. На данный момент не вижу смысла. Таких как вы лечит время.
",1.0
"Преступление и наказание
",0.0
"Зато не бесхребетными подстилками мусульман. Быть толерантным - не значит быть подстилкой. Быть расистом еще хуже.
",1.0
"Отремонтировать квартиру своими силами в свободное от работы время, при условии съема квартиры - дороже, чем нанять бригаду, проверено. Имеет смысл самому делать дорогостоящую работу - электрику, сантехнику, и то только при наличии соответствующих знаний и опыта....
",0.0
"Плюсик в свою карму заслужил. А там, наверху, все плюсы перед Богом зачтутся.
",1.0
"резко набравшее популярность шоу против диайвайщиков. доктор дью теперь канал называется
",0.0
"Ну то есть, 20000 платим, с родителей берем в 2 раза больше. Разница в карман. Замечательные студенты. Тут скорее родители дали 40 они 20 проебали, а оставшиеся 20 закинули за учебу, а чтобы от родителей не получить пытаются поменять 20 на 40
",0.0
"А у меня ворох игр, какие последний раз запускал хуй знает когда. На распродажах бывают такие предложения, что кошелек сам просится, а играю все равно в дичь древнюю раз в год.
",0.0
"Сейчас можно получить паспорт и пока еще можно покинуть территорию страны, тогда же для обывателя это было практически невозможно. Тоталитарный строй не любил отпускать своих рабов на волю.
",0.0
"Типичный ватно-комми скот, который привык к тому что всё общественное ничьё. Малолетняя промытка даже про субботники никогда не слышала.
",1.0
"Т.е. мясного всё-таки заглатывает иногда?
",0.0
"Ну деревни в тайге все же есть. Редко встречаются, но есть. А тут к тому же не далеко от города.
",0.0
"На днях купил какому-то школьнику-студенту (выглядящему не младше меня) энергетик в магните, потому что он не мог. Нихуя себе ребенок, ему было лет 16-18, разве это не пик здоровья? Зато деду легко можно продать, а потом его ошметки будут по всему городу собирать.
",0.0
"Не вижу смысла... в такой ситуации каждый сам должен решать как ему быть.
",0.0
"Как же приятно было это не знать(
",0.0
"Я знал что подобный комент будет....
",1.0
"4 года в прошлом месяце было. Это малышка)
",0.0
"Зачем вы городите чушь? Мы с вами на ты не переходили. Убедитесь в действенности мантры, а потом уже начинайте свою проповедь. Проверено поколениями! Между прочим уже даже считается классической",0.0
"Статуя Свободы) может, думал что США вторгнутся
",0.0
"Не погорячился. Качество изображения было не full HD, но и не экранка однозначно. Без субтитров и с дубляжем. Хз откуда оно было на торрентах, но оно было, факт.
",0.0
"Тут они сами намудрили, т.к. подписались что Хариеры заменят на F35 и не только они но и Европа. Там список закупок в результате вышел больше чем им надо, и часть производили в самой Европе. Вобщем кинуть не получилось и надо все выкупать, а не нужно столько. F22 тяжелее, и проще, основное преимущество F35 что он палубный, но палубники то нужны США, Великобритания ну и ещё парочке стран европейских по паре штук. Сокращённый взлёт и посадка тоже сомнительное преимущество учитывая что он сказывается на ценнике и надёжности.
",0.0
"сам давно налысо брился?
",0.0
"Ты отвечаешь педрюхе, ты хейпостишь других анонов, ты получаешь тот тред который заслуживаешь.",1.0
"О войне с Японией еще фильм про события на Халхин-Голе - Слушайте на той стороне . Сам не смотрел, но хорошие отзывы о китайском фильме Багряный закат (Ziri Purple Sunset, 2001).
",0.0
"Какое отношение твой лахтодырский сайт имеет к этой теме? Иди нахуй.
",1.0
"Лучше больше ближе к лету, на майские там еще может снег сырой лежать
",0.0
"разные рыси есть. Бывает очень ласковая
",0.0
"100500! Нужен проект. И экономить на этом не следует. . Что до труб - отопление по полу можно, плитка не отваливается. И трубы эти замени - выглядят они неочень. А вот воду не советую - её надо по стенам и в теплоизоляции. Капающий конденсат, или отпотевающий пол - это неприятно. Что до липездричества - три фазы - наше всё! Добивайся, переделывай, потом будешь счастлив. Вести можно по потолку - закроешь эти художества натяжным.
",0.0
"Почему этот пидор не хочет играть Муцураева?
",1.0
"вот вы заморочились) но спасибо)
",0.0
"У меня был просто Smart. Тот, который по 400 р. мес., но у меня была скидка. Дело не в этом, а в следующем: мы будто о разных операторах говорим. Также имейте ввиду, последние пару лет МТСники активно привлекают в свои рекламные кампании т.н. звёзд , например, Нагиева, а подобные ему стоят дорого. P.S. Если бы всё в МТСе было так радужно, как пишете вы, я бы оттуда не ушла.
",0.0
"Может банально потерял доступ к акку. В любом случае о съебе где-то прямым текстом было сказано.
",0.0
"тянки на самом деле слабые очень даже трапы на гормонах сильнее средней тянки раза в полтора сфбхуманс вобщем
",0.0
"Каждый порашный окатыш мнит себя минимум Лениным, рукой водящим быдлу с броневика. А быдло - это кто угодно кроме него и должно бежать делать как он велит, а иначе рабы.
",1.0
"Панкам мозги не можно с собой брать.
",1.0
"А как же новость о том что доверие к перзиденту пукину охуенно выросло?
",1.0
"Скажем так, я недавно закончил ветеринарный факультет. У нас на слуху было всего несколько клиник из Москвы. Конечно, учитывая размер города, их там может быть просто дохера.
",0.0
"Ещё можно деньги в долг давать, ну или жильё в ипотеку. Что бы человек всегда должен был.
",0.0
"У норм людей как минимум два туалета, на первом и втормо этаже дома.
",0.0
"А я в Шерегеш работал, я даже глубину горизонтов не помню ниже 255, вроде по 70 метров разница. И я рад, что это в прошлом.
",0.0
"устаревшее, сейчас уже почти не используют
",0.0
"Может вы мне подскажите, в такой ситуации нужно продолжать выше писать в прокуратуру или обращаться в суд? Если в суд на кто ответчик? Фонд соц страхования?",0.0
"Экономически не выгодно.
",0.0
"Малюй на СВО М холсте а не на стенах домов. Лишь бы политоту приплести.
",1.0
"Это решение называется полуторный этаж. Или с перепадом уровня. Вы получите дополнительный эффект по площадям и сделаете необычную планировку. То есть лестницы у Вас будут не на целый этаж, а полэтажа.
",0.0
"Зеленый круче квадратного, ага.
",0.0
"Ох. Моя тупая головушка совсем забыла про собственную бабушку. Тоже с деменцией, но было за 70. Всё рвалась в старый дом в деревне. Забывала абсолютно всё в течение получаса. Несложно догадаться, что её довело до такого состояния. Про таблетки - пока нет необходимости. Спасибо!
",1.0
сдается мне в этой конторе нанимают тех кто задрал уже названивать и предлагать выгодно разместить деньги в очередном ICO,1.0
"Аэропорт в городе Нарита, Япония. Между взлетных полос расположен частный дом фермера, который отказался продавать землю.
",0.0
"нет, ето было на протяжении 2 месяцев, дом новый, с мусоропроводом проблем не было ни разу.
",0.0
"Почему нет, когда скорость и комфорт. Кстати, тут базовая цена зависит от поезда. В одном билет будет стоить 150, а в другом - 80. За счет частоты, можно выбрать удобный во всех отношениях. Да и городской проезд стоит несколько дороже, чем на Родине. А в Новосибе, всего 2 электрички и 2 поезда, кстати, самый дешевый по 498 руб ), но если не убрать галочки о страховке, то получаем все 900.
",0.0
"Остается вопрос- при внедрении систем защиты передачи данных с использованием эффекта квантовой запутанности , следующий шаг- какой? Перезагрузка Универсума?
",0.0
"бетонная стена с контрфорсами и плитой-основанием;; система отвода атмосферных вод, а если слой водоносный, то еще и грунтовых. Вывоз грунта при этом - самая дешевая статья расходов.
",0.0
"Пидр ты, эксклюзивный.
",1.0
"Сам ты преступник. Я живу здесь.
",1.0
"В школе мозаикой был выложен во всю стену на первом этаже. Попробуй забудь.
",0.0
"Чтобы остановить инфляцию надо как минимум остановить вывоз капитала (нефтяных денег) из страны. Угадай кто против.
",0.0
"Отец сказал что надо было предложить)
",0.0
"Пора менять, щас уже новые модели выпустили
",0.0
"Ох вау, а какой стороной ножа резать, не подскажешь? Дебил хвастается рязанским еблом, ещё и гуглит незнакомые словечки. Ну вся суть никому не нужного селюка с никому не нужным тредом.
",1.0
"Наши точно такие же ненастоящие, если не брать конечно ламповые советские. Детских актеров берут зачастую по знакомству, даже не глядя, и ребенок в кадре не может убедительно засмеяться или заплакать. Да и взрослые часто переигрывают, да так, что становится стыдно, хотя играют они.",0.0
"а как понять что тема впихнута где надо и наоборот?
",0.0
"Там бесплатные топпинги, крышечки, соломинки, капхолдеры и т.д.)
",0.0
"При более менее интересных оьоротах выгоднее сделать ИП и платить 6 налог.
",0.0
"В дикси была как-то акция, давали по пять кг. сахара в руки. Кассирши просто били разными чеками.
",0.0
"8 кВА - 50 тыщ. Не так уж и дорого. Теплый пол, электрокотлы всякие и прочую дребедень сильножрущую можно и через реле напряжения пустить. А лампочки с компами и телевизорами через штиль. Ну а если дача - сарай в проходном СНТ с жульем и на отшибе - реле напряжения за косарь достаточно будет.
",0.0
"своей новой бабе, дура
",1.0
"Ребят, ДАЖЕ ЕСЛИ это правда, про то что якобы батя поехал кукошкой и т.д., ЭТО НЕ ПОВОД забирать детей! Я даже не знаю как сказать, у вас у кого-нибудь есть друзья с дет.дома? ну или может вы сами были в таких учреждениях? Вы вообще понимаете что это такое? Говорить и объяснять бесполезно, погуглите, на ютубе забейте - что такое дет.дом и вы поймете что ситуация которая образовалась НИЧЕГО ОБЩЕГО с гуманизмом и заботой о детях не имеет.
",1.0
"Потому что хохлушкам слишком часто спускали в рыло
",1.0
"Либерализм всегда скатится в запрет всего и вся что неугодно либеральной верхушке Фашистской верхушке, косящей под либеральную, поправил тебя. Что мешает просто соблюдать личные свободы? Что в этом утопичного?
",1.0
"Там шанс на выпадение и с достижением определённого количества он перестаёт расти. Выгоднее всего ЕМНИП 48 штук держать. Если больше, делить на отряды по 48.
",0.0
"Во мгле ночной, при свете дня.....",0.0
"Ну бывший директор страны говорил - Денег нет, но вы держитесь.
",0.0
"В общем-то, на семейном канале есть довольно ламповые видосы. Есть видосы где они отдыхают - выезжают в лес или просто жарят шашлыки во дворе. Там чувствуется та самая атмосфера русского отдыха, а самое главное - приходит осознание - это то, к чему Нифёдов стремился эти годы. Никаких высших целей, никаких подростковых максималистских планов, приземленные и понятные цели. Нахожусь в состоянии транса смотря его видео. Умиротворение и спокойствие.
",0.0
"Все, кто не любит мою комми-парашу - либертарианцы У вас там новая грязноштанная методичка лол? Раньше же все антисоветчики были фашистами, затем русофобами, затем русофобами-фашистами, а теперь анкапы?
",1.0
"Ну давай. Отбери у меня нож, клоун, только я махну рукой и твои яйца разлетятся по всему арбату.
",1.0
"а то что технология сначала идет в военный сектор,дает надежду на то что будет нечто передовое и действительно стоящее У них...
",0.0
"Это отдельный проект, но от тех же разработчиков
",0.0
"Стандартная погода в Минске в декабре - это 0 градусов, кстати.
",0.0
"Поехавший алкаш-зоофил постоянно ввязывается в пьяные скандалы, нет, чтобы извиниться, он еще и всех россиян обвиняет в нетерпимости
",1.0
"На сколько я знаю, оборотные градусы - это процентное содержание в напитке 96 - процентного этилового спирта. В стандартной водке, например, 40 об. градусов, а содержание спирта - что-то около 37 - 38 градусов
",0.0
Как это все можно не перепутать с поганками ? Пищевые герои...,0.0
"Он был маньяк и кровавый палач душегуб
",1.0
"У нас тоже, как мы думали, нет бродячих. Уже пять лет в этом районе живём. Оказалось, есть.
",0.0
"как-то мало, за 2 месяца еботни, еще и разделить на двоих и вычесть аренду, и всю мелочевку. Хотя для начала может быть и норм. Я в Алмате наклейки для авто клепаю у себя дома, в месяц выходит где-то 150-300к - 10-20 тыс материал. При этом большую часть времени тупо сижу играю в игры, на пикабу зависаю. Планирую докупить какой-нибудь принтер типо коники или ксерокса и брать заказы как типография.
",0.0
"Доставка по воздуху пока только до 600км...
",0.0
"красножопый петух порвался и орет
",1.0
"В случае, если оскорбление носит незначительный характер, модерация оставляет за собой право реагировать лишь в том случае, если к ней обратился непосредственно сам оскорбленный пользователь.
",1.0
"Я вам хамил? Я это не заметил. Или это из серии ажемать яжотец яжбэмэвэ?
",1.0
"Дайте в рот этому хуесосу и сфоткайте
",1.0
"В Тюмени большинство светофоров с пешеходной фазой, поэтому пешеходы ходят в том числе и по диагонали через весь перекресток! тут говорят:
",0.0
"Тамбовская духовка тебе кулички!
",1.0
"чем это вам хомячковые силы не угодили?
",1.0
"И что, никто не согласился или просто не решалась предлагать?)
",0.0
"Если зарегистрировано народу больше (или столько же), сколько и проживает, то очевидно, что платить по счетчикам будет дешевле. Иначе их бы никто и не ставил.
",0.0
"И леваки этого Александра грохнули. Ебанутые.
",1.0
"Год как поменял все лампочки на гаусс, пока ни одна из строя не вышла. Про охлаждение не совсем понятно, вот у меня был включен свет около часа, они по прежнему выкручиваются руками, то есть нагрелись не сильно. Не похоже, чтобы это было им критично. У бабули лампы osram вкрутил больше двух лет назад, когда они ещё стоили не гуманно, просто она сама не может на стул встать поменять если перегорят - в общем, за два с лишним годом полёт нормальный, светят отменно, ни одна из строя не вышла. Перед гаусом были какие-то хрен пойми из метро лампочки, большинство не прожили и года. Пока остальные помрут не стал ждать, поменял все сразу везде.",0.0
